Timestamp,What is your current academic rank?,  What is your tenure status?  ,Which best describes your career stage?,What is your primary academic division?,"During a typical teaching week, how often do you log into your institution's Learning Management System (LMS), such as Canvas, Moodle, or Blackboard?","On average, how long does it take you to provide feedback on major student assignments?","Please rate your agreement with the following statement: ""I regularly update or add new content and materials to my courses throughout the semester."""," Approximately how many peer-reviewed publications (e.g., journal articles, book chapters) have you authored or co-authored in the past 3 years? (Numeric)",Approximately how many new grant proposals have you submitted (as a PI or Co-PI) in the past 3 years? (Numeric),"Please rate your agreement with the following statement: ""I feel I have adequate time and resources to focus on my research agenda.", How many major institutional or departmental committees do you currently serve on?,"Please rate your agreement with the following statement: ""My level of service work feels manageable and is valued by my institution.""","Please rate your agreement with the following statement: ""I feel a strong sense of connection and belonging within my department/unit.""","Competence: ""I feel effective and competent in my core academic responsibilities","Autonomy: ""I feel a strong sense of autonomy and control over my work.""","Relatedness: ""I feel genuinely connected to and cared for by my colleagues and the institution.""","  17. If you could suggest one thing your institution could do to better support your professional engagement and well-being, what would it be?  ",cluster
2025-08-03 22:11:05.759,Associate Professor,Tenured,Early-Career (0-6 years in a faculty role),"STEM (Science, Technology, Engineering, Math)",10-15 times,5-9 days,4,3,2,3,2,4,4,4,4,4,Allow freedom of teaching with students. Allow me to choose the students with whom i wanna do projects ,2
2025-08-03 23:16:36.527,Assistant Professor,Tenured,Early-Career (0-6 years in a faculty role),Arts & Humanities,10-15 times,Less than 5 days,4,2,0,3,2,3,3,3,4,2,-,6
2025-08-04 10:03:00.979,Associate Professor,Non-Tenure-Track,Early-Career (0-6 years in a faculty role),"STEM (Science, Technology, Engineering, Math)",More than 15 times,Less than 5 days,4,2,2,5,1,5,5,5,5,5,Regular training programmes and upskilling sessions.,0
2025-08-04 10:04:51.270,Full Professor,Tenured,Mid-Career (7-15 years in a faculty role),Arts & Humanities,More than 15 times,10-14 days,3,0,3,2,1,4,4,4,3,4,Provide a better work life balance by giving less workload on us and provide regular moral support.,3
2025-08-04 10:06:55.106,Assistant Professor,Non-Tenure-Track,Early-Career (0-6 years in a faculty role),"STEM (Science, Technology, Engineering, Math)",More than 15 times,Less than 5 days,5,0,0,5,2,5,5,5,5,5,none,0
2025-08-04 10:09:52.327,Assistant Professor,Tenured,Early-Career (0-6 years in a faculty role),"STEM (Science, Technology, Engineering, Math)",10-15 times,5-9 days,3,4,1,2,2,2,2,3,4,4,Better management and focus on mental health ,1
2025-08-04 10:50:14.124,Assistant Professor,Non-Tenure-Track,Early-Career (0-6 years in a faculty role),"STEM (Science, Technology, Engineering, Math)",5-9 times,5-9 days,4,3,1,3,1,4,3,3,3,3,‎,3
2025-08-04 11:02:57.798,Associate Professor,Tenure-Track,Early-Career (0-6 years in a faculty role),"Professional School (e.g., Business, Law, Medicine)",10-15 times,5-9 days,3,2,2,4,1,3,5,5,5,5,Better engagement ,5
2025-08-04 12:04:17.537,Assistant Professor,Tenured,Mid-Career (7-15 years in a faculty role),"STEM (Science, Technology, Engineering, Math)",5-9 times,Less than 5 days,4,6,10,5,2,5,5,5,5,5,Bringing more like-minded peers together ,4
2025-08-06 20:38:42.394,Assistant Professor,Non-Tenure-Track,Early-Career (0-6 years in a faculty role),"STEM (Science, Technology, Engineering, Math)",5-9 times,5-9 days,4,0,0,2,1,3,3,3,3,4,Host more meetings ,3
2025-08-06 23:12:37.166,Assistant Professor,Non-Tenure-Track,Early-Career (0-6 years in a faculty role),Social Sciences,10-15 times,5-9 days,4,3,4,3,2,5,5,4,5,4,Have more transparency ,2
